96/04/23,43649,69139,1.50,1.64,1.50,1.64,+0.09,22
96/04/24,109351,184770,1.64,1.72,1.63,1.70,+0.06,29
96/04/25,88505,147515,1.68,1.79,1.59,1.78,+0.08,40
96/04/26,105270,176927,1.68,1.73,1.66,1.68,-0.10,23
96/04/27,137000,218320,1.66,1.66,1.57,1.57,-0.11,38
96/04/30,152000,227560,1.57,1.57,1.47,1.47,-0.10,31
96/05/02,49000,67250,1.39,1.39,1.37,1.37,-0.10,9
96/05/03,141000,186310,1.30,1.35,1.30,1.30,-0.07,10
96/05/04,16000,19360,1.21,1.21,1.21,1.21,-0.09,4
96/05/07,0,0,0.00,0.00,0.00,0.00,---,0
97/01/02,0,0,0.00,0.00,0.00,0.00,---,0
97/01/03,5000,6450,1.29,1.29,1.29,1.29,+0.08,1
97/01/04,26000,35520,1.38,1.38,1.20,1.20,-0.09,6
97/01/07,30000,33600,1.12,1.12,1.12,1.12,-0.08,4
97/01/08,20000,21000,1.05,1.05,1.05,1.05,-0.07,1
97/01/09,20000,19600,0.98,0.98,0.98,0.98,-0.07,2
97/01/10,20000,18400,0.92,0.92,0.92,0.92,-0.06,2
97/01/11,287003,249332,0.87,0.87,0.86,0.86,-0.06,17
97/01/14,179003,150742,0.81,0.92,0.81,0.92,+0.06,18
97/01/15,182000,156570,0.86,0.91,0.86,0.91,-0.01,13
97/01/16,0,0,0.00,0.00,0.00,0.00,---,0
97/01/17,1000,850,0.85,0.85,0.85,0.85,-0.06,1
97/01/18,81000,65400,0.80,0.81,0.80,0.81,-0.04,7
97/01/21,80261,60998,0.76,0.76,0.76,0.76,-0.05,14
97/01/22,39000,27770,0.71,0.79,0.71,0.79,+0.03,6
97/01/23,2000,1500,0.75,0.75,0.75,0.75,-0.04,1
97/01/24,20,13,0.00,0.00,0.00,0.00,---,2
97/01/25,4031,2991,0.75,0.75,0.75,0.75,0.00,5
97/01/28,0,0,0.00,0.00,0.00,0.00,---,0
97/01/29,10606,8436,0.80,0.80,0.80,0.80,+0.05,2
97/01/30,0,0,0.00,0.00,0.00,0.00,---,0
97/01/31,2000,1500,0.75,0.75,0.75,0.75,-0.05,2
97/02/01,5000,3540,0.74,0.74,0.70,0.70,-0.05,5
97/02/12,1000,660,0.66,0.66,0.66,0.66,-0.04,1
97/02/13,23000,14260,0.62,0.62,0.62,0.62,-0.04,4
97/02/14,60000,35180,0.58,0.66,0.58,0.65,+0.03,6
97/02/15,11000,7480,0.68,0.68,0.68,0.68,+0.03,2
97/02/18,1000,720,0.72,0.72,0.72,0.72,+0.04,1
97/02/19,55000,40630,0.76,0.76,0.67,0.76,+0.04,7
97/02/20,46000,33090,0.79,0.79,0.71,0.71,-0.05,4
97/02/21,47145,32431,0.73,0.73,0.67,0.70,-0.01,5
