105/11/10,10000,11100,1.11,1.11,1.11,1.11,+0.17,1
105/11/11,0,0,---,---,---,---,---,0
105/11/14,0,0,---,---,---,---,---,0
105/11/15,0,0,---,---,---,---,---,0
105/11/16,0,0,---,---,---,---,---,0
105/11/17,10000,9200,0.92,0.92,0.92,0.92,-0.04,1
105/11/18,391000,369830,0.93,0.97,0.93,0.97,+0.05,5
105/11/21,201000,195070,0.97,0.98,0.97,0.98,+0.01,5
105/11/22,412000,411930,1.00,1.00,0.99,0.99,+0.01,3
105/11/23,407000,386580,0.95,0.95,0.94,0.95,-0.04,5
105/11/24,465000,434850,0.92,0.95,0.92,0.95,0.00,5
105/11/25,113000,105090,0.93,0.93,0.93,0.93,-0.02,2
105/11/28,122000,113670,0.93,0.94,0.93,0.94,+0.01,4
105/11/29,255000,244880,0.96,0.98,0.95,0.97,+0.03,15
105/11/30,113000,110050,0.98,0.98,0.97,0.97,0.00,6
105/12/01,401000,400570,0.99,1.04,0.98,1.04,+0.07,13
105/12/02,391000,382830,1.00,1.02,0.96,1.01,-0.03,14
105/12/05,20000,19600,0.98,0.98,0.98,0.98,-0.03,1
105/12/06,15000,14700,0.98,0.98,0.98,0.98,0.00,1
105/12/07,164000,158980,0.97,0.97,0.96,0.96,-0.02,4
105/12/08,198000,188820,0.95,0.96,0.95,0.95,-0.01,6
105/12/09,1552000,1576780,0.98,1.11,0.98,1.02,+0.07,24
105/12/12,858000,841020,1.01,1.01,0.97,0.97,-0.05,16
105/12/13,4000,3760,0.94,0.94,0.94,0.94,-0.03,1
105/12/14,0,0,---,---,---,---,---,0
105/12/15,0,0,---,---,---,---,---,0
105/12/16,496000,475370,0.95,0.99,0.95,0.99,+0.05,7
105/12/19,1091000,1083820,0.98,1.00,0.95,0.95,-0.04,5
105/12/20,11000,10450,0.95,0.95,0.95,0.95,0.00,1
105/12/21,20000,18600,0.93,0.93,0.93,0.93,-0.02,2
105/12/22,70000,67700,0.97,0.97,0.96,0.96,+0.03,2
105/12/23,649000,654640,0.96,1.05,0.96,1.03,+0.07,27
105/12/26,497000,488440,1.01,1.01,0.96,0.97,-0.06,18
105/12/27,326000,323020,0.97,1.00,0.97,1.00,+0.03,12
