105/05/20,148000,159200,1.11,1.11,1.06,1.10,+0.02,4
105/05/23,119000,117650,1.03,1.03,0.88,0.91,-0.19,7
105/05/24,4000,3680,0.92,0.92,0.92,0.92,+0.01,1
105/05/25,24000,20080,0.84,0.84,0.82,0.82,-0.10,3
105/05/26,20000,15700,0.78,0.79,0.78,0.79,-0.03,2
105/05/27,5000,3820,0.76,0.78,0.76,0.78,-0.01,2
105/05/30,14000,10450,0.75,0.75,0.74,0.74,-0.04,2
105/05/31,30000,21100,0.69,0.73,0.69,0.73,-0.01,3
105/06/01,1000,730,0.73,0.73,0.73,0.73,0.00,1
105/06/02,27000,19090,0.70,0.75,0.70,0.75,+0.02,5
105/06/03,0,0,---,---,---,---,---,0
105/06/04,0,0,---,---,---,---,---,0
105/06/06,18000,11860,0.65,0.67,0.65,0.67,-0.07,4
105/06/07,16000,10580,0.65,0.68,0.65,0.68,+0.01,3
105/06/08,21000,14080,0.67,0.68,0.67,0.68,0.00,3
105/06/13,111000,79400,0.67,0.72,0.67,0.72,+0.04,5
105/06/14,0,0,---,---,---,---,---,0
105/06/15,0,0,---,---,---,---,---,0
105/06/16,14000,9380,0.67,0.67,0.67,0.67,0.00,2
105/06/17,12000,7380,0.61,0.64,0.61,0.64,-0.03,2
105/06/20,0,0,---,---,---,---,---,0
105/06/21,150000,77900,0.52,0.52,0.51,0.51,-0.09,2
105/06/22,0,0,---,---,---,---,---,0
105/06/23,0,0,---,---,---,---,---,0
105/06/24,0,0,---,---,---,---,---,0
105/06/27,0,0,---,---,---,---,---,0
105/06/28,0,0,---,---,---,---,---,0
105/06/29,5000,2150,0.43,0.43,0.43,0.43,-0.12,1
105/06/30,0,0,---,---,---,---,---,0
105/07/01,10000,3850,0.37,0.40,0.37,0.40,0.00,2
105/07/04,0,0,---,---,---,---,---,0
105/07/05,15000,5700,0.38,0.38,0.38,0.38,0.00,1
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
