104/04/08,0,0,---,---,---,---,---,0
104/04/09,12000,12720,1.06,1.06,1.06,1.06,+0.01,1
104/04/10,23000,19190,0.84,0.84,0.81,0.81,-0.25,3
104/04/13,11000,8590,0.79,0.79,0.78,0.78,-0.03,2
104/04/14,0,0,---,---,---,---,---,0
104/04/15,0,0,---,---,---,---,---,0
104/04/16,0,0,---,---,---,---,---,0
104/04/17,0,0,---,---,---,---,---,0
104/04/20,0,0,---,---,---,---,---,0
104/04/21,0,0,---,---,---,---,---,0
104/04/22,0,0,---,---,---,---,---,0
104/04/23,0,0,---,---,---,---,---,0
104/04/24,0,0,---,---,---,---,---,0
104/04/27,0,0,---,---,---,---,---,0
104/04/28,978000,713960,0.72,0.79,0.72,0.79,+0.10,18
104/04/29,978000,738630,0.74,0.78,0.74,0.75,-0.04,19
104/04/30,85000,68410,0.77,0.81,0.77,0.81,+0.06,2
104/05/04,74000,51800,0.70,0.70,0.70,0.70,-0.11,1
104/05/05,0,0,---,---,---,---,---,0
104/05/06,0,0,---,---,---,---,---,0
104/05/07,0,0,---,---,---,---,---,0
104/05/08,0,0,---,---,---,---,---,0
104/05/11,0,0,---,---,---,---,---,0
104/05/12,0,0,---,---,---,---,---,0
104/05/13,0,0,---,---,---,---,---,0
104/05/14,0,0,---,---,---,---,---,0
104/05/15,0,0,---,---,---,---,---,0
104/05/18,0,0,---,---,---,---,---,0
104/05/19,0,0,---,---,---,---,---,0
104/05/20,0,0,---,---,---,---,---,0
104/05/21,0,0,---,---,---,---,---,0
104/05/22,0,0,---,---,---,---,---,0
104/05/25,0,0,---,---,---,---,---,0
104/05/26,0,0,---,---,---,---,---,0
104/05/27,0,0,---,---,---,---,---,0
104/05/28,0,0,---,---,---,---,---,0
104/05/29,0,0,---,---,---,---,---,0
104/06/01,40000,24600,0.60,0.63,0.60,0.63,+0.06,2
104/06/02,40000,24160,0.61,0.61,0.59,0.59,-0.04,4
104/06/03,0,0,---,---,---,---,---,0
104/06/04,0,0,---,---,---,---,---,0
104/06/05,270000,132000,0.48,0.50,0.48,0.50,+0.01,2
104/06/08,0,0,---,---,---,---,---,0
104/06/09,0,0,---,---,---,---,---,0
104/06/10,0,0,---,---,---,---,---,0
104/06/11,270000,143100,0.53,0.53,0.53,0.53,+0.01,1
104/06/12,177000,109410,0.57,0.63,0.57,0.63,+0.10,2
104/06/15,705000,540180,0.74,0.82,0.72,0.74,+0.11,18
104/06/16,792000,571850,0.73,0.78,0.62,0.63,-0.11,23
104/06/17,413000,273450,0.63,0.70,0.62,0.64,+0.01,10
104/06/18,324000,196680,0.60,0.62,0.60,0.62,-0.02,6
104/06/22,555000,395500,0.67,0.75,0.67,0.73,+0.11,13
104/06/23,425000,295570,0.72,0.74,0.67,0.67,-0.06,7
104/06/24,291000,205000,0.69,0.74,0.69,0.73,+0.06,5
104/06/25,228000,152040,0.67,0.67,0.63,0.63,-0.10,4
104/06/26,31000,18590,0.60,0.60,0.59,0.59,-0.04,2
104/06/29,20000,10000,0.50,0.50,0.50,0.50,-0.09,1
104/06/30,0,0,---,---,---,---,---,0
104/07/01,0,0,---,---,---,---,---,0
104/07/02,0,0,---,---,---,---,---,0
104/07/03,20000,10800,0.54,0.54,0.54,0.54,-0.02,1
104/07/06,20000,8800,0.44,0.44,0.44,0.44,-0.10,1
104/07/07,2000,880,0.44,0.44,0.44,0.44,0.00,1
104/07/08,0,0,---,---,---,---,---,0
104/07/09,20000,6700,0.32,0.34,0.32,0.34,0.00,3
104/07/13,10000,3300,0.33,0.33,0.33,0.33,-0.01,1
104/07/14,0,0,---,---,---,---,---,0
104/07/15,0,0,---,---,---,---,---,0
104/07/16,0,0,---,---,---,---,---,0
104/07/17,0,0,---,---,---,---,---,0
104/07/20,0,0,---,---,---,---,---,0
104/07/21,0,0,---,---,---,---,---,0
104/07/22,0,0,---,---,---,---,---,0
104/07/23,0,0,---,---,---,---,---,0
104/07/24,0,0,---,---,---,---,---,0
104/07/27,0,0,---,---,---,---,---,0
104/07/28,0,0,---,---,---,---,---,0
104/07/29,10000,1800,0.18,0.18,0.18,0.18,0.00,1
104/07/30,0,0,---,---,---,---,---,0
104/07/31,0,0,---,---,---,---,---,0
104/08/03,0,0,---,---,---,---,---,0
104/08/04,0,0,---,---,---,---,---,0
104/08/05,0,0,---,---,---,---,---,0
104/08/06,0,0,---,---,---,---,---,0
104/08/07,0,0,---,---,---,---,---,0
104/08/10,0,0,---,---,---,---,---,0
104/08/11,0,0,---,---,---,---,---,0
104/08/12,0,0,---,---,---,---,---,0
104/08/13,0,0,---,---,---,---,---,0
104/08/14,2000,260,0.13,0.13,0.13,0.13,0.00,1
104/08/17,5000,650,0.13,0.13,0.13,0.13,0.00,1
104/08/18,0,0,---,---,---,---,---,0
104/08/19,0,0,---,---,---,---,---,0
104/08/20,0,0,---,---,---,---,---,0
104/08/21,0,0,---,---,---,---,---,0
104/08/24,0,0,---,---,---,---,---,0
104/08/25,0,0,---,---,---,---,---,0
104/08/26,0,0,---,---,---,---,---,0
104/08/27,0,0,---,---,---,---,---,0
104/08/28,0,0,---,---,---,---,---,0
104/08/31,0,0,---,---,---,---,---,0
104/09/01,0,0,---,---,---,---,---,0
104/09/02,0,0,---,---,---,---,---,0
104/09/03,0,0,---,---,---,---,---,0
104/09/04,0,0,---,---,---,---,---,0
104/09/07,0,0,---,---,---,---,---,0
104/09/08,0,0,---,---,---,---,---,0
104/09/09,0,0,---,---,---,---,---,0
104/09/10,5000,600,0.12,0.12,0.12,0.12,-0.02,1
104/09/11,0,0,---,---,---,---,---,0
104/09/14,0,0,---,---,---,---,---,0
104/09/15,0,0,---,---,---,---,---,0
104/09/16,0,0,---,---,---,---,---,0
104/09/17,0,0,---,---,---,---,---,0
104/09/18,5000,500,0.10,0.10,0.10,0.10,+0.02,1
104/09/21,0,0,---,---,---,---,---,0
104/09/22,0,0,---,---,---,---,---,0
104/09/23,0,0,---,---,---,---,---,0
104/09/24,0,0,---,---,---,---,---,0
104/09/25,0,0,---,---,---,---,---,0
104/09/30,0,0,---,---,---,---,---,0
104/10/01,0,0,---,---,---,---,---,0
104/10/02,0,0,---,---,---,---,---,0
104/10/05,0,0,---,---,---,---,---,0
