106/02/10,6067870,313816217,51.50,51.90,51.50,51.70,X,1741
106/02/13,2617236,135581878,51.80,51.90,51.70,51.80,0.10,896
106/02/14,1488227,77035604,51.80,51.90,51.70,51.70,-0.10,486
106/02/15,1851604,95716898,51.70,51.80,51.60,51.60,-0.10,407
106/02/16,822240,42469368,51.70,51.70,51.60,51.60,,369
106/02/17,980015,50727762,51.70,51.80,51.70,51.70,0.10,274
106/02/18,521764,27065467,51.70,52.00,51.70,51.90,0.20,225
106/02/20,472454,24526752,51.90,52.00,51.80,51.90,,171
106/02/21,696028,36216156,51.90,52.20,51.90,52.20,0.30,280
106/02/22,1045548,54535527,52.20,52.30,52.10,52.10,-0.10,244
106/02/23,526478,27511484,52.10,52.30,52.10,52.30,0.20,177
106/02/24,284837,14905467,52.30,52.40,52.20,52.40,0.10,99
