106/09/01,3046000,60460530,19.90,19.90,19.82,19.85,-0.12,79
106/09/04,471000,9330230,19.78,19.82,19.78,19.82,-0.03,26
106/09/05,366000,7217650,19.79,19.79,19.72,19.73,-0.09,10
106/09/06,423000,8298790,19.59,19.62,19.59,19.60,-0.13,15
106/09/07,188000,3700870,19.71,19.71,19.68,19.68,0.08,12
106/09/08,521000,10169920,19.57,19.58,19.44,19.45,-0.23,18
106/09/11,626000,12251040,19.59,19.59,19.57,19.57,0.12,10
106/09/12,440000,8681280,19.75,19.75,19.72,19.72,0.15,17
106/09/13,430000,8539450,19.85,19.86,19.84,19.84,0.12,10
106/09/14,417000,8311050,19.95,19.97,19.93,19.93,0.09,12
106/09/15,404000,8047550,19.86,19.92,19.86,19.92,-0.01,7
106/09/18,440000,8821900,20.04,20.06,20.04,20.05,0.13,14
106/09/19,791000,15926300,20.09,20.16,20.09,20.16,0.11,31
106/09/20,508000,10231140,20.16,20.16,20.14,20.14,-0.02,8
106/09/21,614000,12478550,20.34,20.34,20.31,20.33,0.19,14
106/09/22,810000,16389830,20.28,20.28,20.19,20.21,-0.12,14
106/09/25,404000,8193190,20.32,20.32,20.28,20.28,0.07,7
106/09/26,401000,8076190,20.19,20.19,20.14,20.14,-0.14,5
