101/12/17,12000,12120,1.01,1.01,1.01,1.01,+0.13,2
101/12/18,12000,11760,0.98,0.98,0.98,0.98,-0.03,2
101/12/19,0,0,---,---,---,---,---,0
101/12/20,0,0,---,---,---,---,---,0
101/12/21,0,0,---,---,---,---,---,0
101/12/22,0,0,---,---,---,---,---,0
101/12/24,0,0,---,---,---,---,---,0
101/12/25,0,0,---,---,---,---,---,0
101/12/26,0,0,---,---,---,---,---,0
101/12/27,0,0,---,---,---,---,---,0
101/12/28,0,0,---,---,---,---,---,0
102/01/02,0,0,---,---,---,---,---,0
102/01/03,0,0,---,---,---,---,---,0
102/01/04,0,0,---,---,---,---,---,0
102/01/07,23000,14830,0.69,0.69,0.61,0.61,-0.12,5
102/01/08,654000,404520,0.64,0.65,0.59,0.61,0.00,33
102/01/09,956000,548730,0.53,0.59,0.53,0.58,-0.03,26
102/01/10,1819000,967480,0.59,0.59,0.50,0.56,-0.02,66
102/01/11,561000,320440,0.56,0.81,0.54,0.55,-0.01,40
102/01/14,904000,504560,0.68,0.68,0.53,0.53,-0.02,33
102/01/15,397000,208610,0.51,0.57,0.49,0.55,+0.02,38
102/01/16,403000,223480,0.52,0.57,0.52,0.55,0.00,30
102/01/17,1356000,809910,0.55,0.64,0.52,0.64,+0.09,53
102/01/18,1467000,915610,0.64,0.65,0.61,0.61,-0.03,50
102/01/21,524000,311380,0.60,0.61,0.58,0.60,-0.01,18
102/01/22,808000,467190,0.57,0.59,0.56,0.59,-0.01,32
102/01/23,519000,306040,0.59,0.60,0.58,0.59,0.00,14
102/01/24,356000,213040,0.57,0.61,0.57,0.57,-0.02,15
102/01/25,1325000,841730,0.58,0.69,0.58,0.66,+0.09,54
102/01/28,1203000,812540,0.69,0.70,0.66,0.68,+0.02,41
102/01/29,933000,577330,0.66,0.66,0.61,0.62,-0.06,31
102/01/30,53000,31000,0.60,0.60,0.58,0.60,-0.02,7
102/01/31,178000,104320,0.59,0.60,0.57,0.58,-0.02,9
102/02/01,215000,130940,0.58,0.62,0.58,0.61,+0.03,10
102/02/04,41000,23880,0.59,0.59,0.58,0.58,-0.03,4
102/02/05,103000,62530,0.61,0.62,0.60,0.60,+0.02,6
102/02/06,50000,30000,0.59,0.61,0.59,0.61,+0.01,4
102/02/18,238000,127070,0.56,0.56,0.52,0.53,-0.08,13
102/02/19,145000,76450,0.53,0.53,0.51,0.51,-0.02,7
102/02/20,64000,32240,0.52,0.52,0.47,0.47,-0.04,5
102/02/21,167000,80600,0.45,0.51,0.45,0.51,+0.04,6
102/02/22,167000,87930,0.50,0.54,0.50,0.53,+0.02,8
102/02/23,180000,100420,0.55,0.56,0.55,0.56,+0.03,8
102/02/25,120000,62800,0.53,0.53,0.52,0.52,-0.04,3
102/02/26,78000,39960,0.51,0.52,0.49,0.52,0.00,4
102/02/27,492000,261460,0.52,0.55,0.52,0.55,+0.03,15
102/03/01,457000,233170,0.52,0.53,0.50,0.51,-0.04,13
102/03/04,121000,60600,0.51,0.51,0.49,0.50,-0.01,7
102/03/05,368000,173360,0.49,0.50,0.46,0.47,-0.03,12
102/03/06,289000,126890,0.45,0.45,0.40,0.41,-0.06,10
102/03/07,119000,47630,0.40,0.42,0.39,0.41,0.00,15
102/03/08,155000,60550,0.39,0.41,0.38,0.40,-0.01,14
102/03/11,82000,29710,0.38,0.38,0.34,0.37,-0.03,10
102/03/12,412000,160380,0.35,0.40,0.35,0.40,+0.03,18
102/03/13,762000,320190,0.38,0.47,0.38,0.43,+0.03,29
102/03/14,411000,183490,0.45,0.46,0.44,0.46,+0.03,15
102/03/15,184000,82270,0.44,0.45,0.43,0.45,-0.01,9
102/03/18,863000,429760,0.46,0.52,0.46,0.50,+0.05,32
102/03/19,612000,300870,0.49,0.50,0.47,0.49,-0.01,25
102/03/20,418000,208480,0.50,0.51,0.48,0.51,+0.02,13
102/03/21,96000,47200,0.48,0.50,0.48,0.50,-0.01,3
102/03/22,102000,50470,0.50,0.50,0.48,0.48,-0.02,8
102/03/25,126000,63310,0.48,0.51,0.48,0.50,+0.02,5
102/03/26,1037000,558280,0.52,0.56,0.51,0.54,+0.04,30
102/03/27,1198000,605740,0.57,0.57,0.46,0.50,-0.04,31
102/03/28,330000,173900,0.50,0.54,0.50,0.53,+0.03,14
102/03/29,461000,231500,0.51,0.51,0.50,0.50,-0.03,12
102/04/01,295000,143500,0.50,0.50,0.47,0.47,-0.03,13
102/04/02,833000,362670,0.46,0.46,0.43,0.44,-0.03,21
102/04/03,138000,59570,0.44,0.44,0.43,0.43,-0.01,7
102/04/08,1585000,748650,0.45,0.49,0.45,0.46,+0.03,33
102/04/09,810000,395100,0.46,0.51,0.46,0.50,+0.04,21
102/04/10,602000,275240,0.44,0.49,0.44,0.49,-0.01,17
102/04/11,552000,253140,0.46,0.46,0.45,0.45,-0.04,14
102/04/12,197000,88710,0.45,0.47,0.43,0.45,0.00,11
102/04/15,807000,380660,0.44,0.51,0.44,0.51,+0.06,25
102/04/16,435000,228050,0.51,0.53,0.50,0.52,+0.01,15
102/04/17,304000,158900,0.52,0.53,0.50,0.52,0.00,8
102/04/18,672000,364230,0.53,0.56,0.52,0.56,+0.04,14
102/04/19,1147000,602080,0.54,0.54,0.49,0.52,-0.04,28
102/04/22,123000,65650,0.51,0.54,0.50,0.54,+0.02,7
102/04/23,161000,83320,0.52,0.53,0.50,0.52,-0.02,14
102/04/24,119000,59400,0.50,0.50,0.49,0.50,-0.02,3
102/04/25,156000,70800,0.47,0.47,0.45,0.45,-0.05,7
102/04/26,155000,68950,0.44,0.45,0.43,0.45,0.00,7
102/04/29,278000,113580,0.42,0.42,0.40,0.40,-0.05,6
102/04/30,641000,231910,0.38,0.38,0.35,0.36,-0.04,22
102/05/02,60000,22700,0.38,0.38,0.37,0.37,+0.01,3
102/05/03,205000,71020,0.33,0.36,0.32,0.36,-0.01,12
102/05/06,50000,18000,0.36,0.36,0.36,0.36,0.00,4
102/05/07,140000,46800,0.34,0.34,0.32,0.34,-0.02,5
102/05/08,765000,225320,0.28,0.31,0.28,0.29,-0.05,14
102/05/09,393000,90990,0.23,0.24,0.22,0.24,-0.05,11
102/05/10,135000,30450,0.21,0.24,0.21,0.22,-0.02,8
102/05/13,210000,44600,0.21,0.23,0.20,0.23,+0.01,7
102/05/14,444000,107060,0.24,0.25,0.23,0.25,+0.02,11
102/05/15,194000,45320,0.24,0.25,0.23,0.23,-0.02,7
102/05/16,123000,23780,0.18,0.23,0.18,0.23,0.00,9
102/05/17,30000,6300,0.21,0.21,0.21,0.21,-0.02,3
102/05/20,25000,5000,0.20,0.20,0.20,0.20,-0.01,1
102/05/21,118000,22600,0.16,0.20,0.16,0.20,0.00,6
102/05/22,437000,90370,0.20,0.21,0.20,0.21,+0.01,5
102/05/23,528000,137580,0.23,0.27,0.23,0.26,+0.05,9
102/05/24,689000,185450,0.27,0.28,0.25,0.26,0.00,19
102/05/27,487000,126220,0.26,0.26,0.25,0.25,-0.01,8
102/05/28,20000,4600,0.23,0.23,0.23,0.23,-0.02,1
102/05/29,70000,18300,0.27,0.27,0.26,0.26,+0.03,3
102/05/30,90000,23000,0.25,0.26,0.25,0.26,0.00,4
102/05/31,100000,24800,0.25,0.25,0.24,0.25,-0.01,4
102/06/03,0,0,---,---,---,---,---,0
102/06/04,100000,21800,0.23,0.23,0.21,0.22,-0.02,7
102/06/05,168000,37880,0.21,0.24,0.21,0.24,+0.02,11
102/06/06,60000,13400,0.23,0.23,0.22,0.22,-0.02,4
102/06/07,130000,30500,0.20,0.26,0.20,0.24,+0.02,9
102/06/10,20000,4700,0.23,0.24,0.23,0.24,0.00,2
102/06/11,0,0,---,---,---,---,---,0
102/06/13,50000,12800,0.24,0.26,0.24,0.26,+0.02,4
102/06/14,139000,38930,0.27,0.31,0.27,0.30,+0.04,3
102/06/17,0,0,---,---,---,---,---,0
102/06/18,20000,5200,0.26,0.26,0.26,0.26,-0.02,2
102/06/19,60000,15300,0.25,0.26,0.25,0.26,0.00,6
102/06/20,0,0,---,---,---,---,---,0
102/06/21,80000,25600,0.32,0.32,0.32,0.32,+0.04,2
102/06/24,10000,2900,0.29,0.29,0.29,0.29,-0.03,1
102/06/25,0,0,---,---,---,---,---,0
102/06/26,0,0,---,---,---,---,---,0
102/06/27,0,0,---,---,---,---,---,0
102/06/28,20000,4600,0.23,0.23,0.23,0.23,+0.01,2
102/07/01,10000,2300,0.23,0.23,0.23,0.23,0.00,1
102/07/02,80000,14400,0.18,0.18,0.18,0.18,-0.05,2
102/07/03,35000,6500,0.18,0.19,0.18,0.19,+0.01,2
102/07/04,130000,21800,0.16,0.18,0.16,0.18,-0.01,7
102/07/05,87000,15660,0.18,0.18,0.18,0.18,0.00,9
102/07/08,0,0,---,---,---,---,---,0
102/07/09,0,0,---,---,---,---,---,0
102/07/10,0,0,---,---,---,---,---,0
102/07/11,0,0,---,---,---,---,---,0
102/07/12,0,0,---,---,---,---,---,0
