105/03/07,0,0,---,---,---,---,---,0
105/03/08,13000,15070,1.19,1.19,1.15,1.15,+0.10,2
105/03/09,264000,307460,1.14,1.21,1.14,1.19,+0.04,5
105/03/10,174000,193470,1.09,1.13,1.08,1.12,-0.07,4
105/03/11,95000,95000,1.00,1.00,1.00,1.00,-0.12,3
105/03/14,2000,2060,1.03,1.03,1.03,1.03,+0.03,1
105/03/15,20000,20600,1.03,1.04,0.99,1.04,+0.01,4
105/03/16,298000,320110,1.02,1.11,1.02,1.10,+0.06,19
105/03/17,552000,646410,1.11,1.27,1.09,1.23,+0.13,33
105/03/18,544000,570440,1.24,1.24,0.99,1.05,-0.18,31
105/03/21,365000,415650,1.07,1.27,1.04,1.24,+0.19,31
105/03/22,608000,914110,1.35,1.70,1.35,1.48,+0.24,61
105/03/23,469000,721360,1.40,1.66,1.40,1.58,+0.10,38
105/03/24,231000,358350,1.50,1.60,1.45,1.60,+0.02,19
105/03/25,414000,685430,1.68,1.77,1.52,1.53,-0.07,34
105/03/28,194000,286160,1.53,1.53,1.42,1.50,-0.03,15
105/03/29,547000,748260,1.54,1.54,1.30,1.32,-0.18,24
105/03/30,339000,486650,1.41,1.45,1.39,1.41,+0.09,14
105/03/31,114000,151850,1.33,1.35,1.32,1.32,-0.09,8
105/04/01,138000,185340,1.30,1.43,1.30,1.35,+0.03,10
105/04/06,359000,506970,1.30,1.47,1.30,1.42,+0.07,29
105/04/07,810000,1212770,1.51,1.54,1.43,1.50,+0.08,56
105/04/08,586000,858800,1.46,1.53,1.42,1.43,-0.07,28
105/04/11,476000,721800,1.47,1.56,1.45,1.53,+0.10,39
105/04/12,740000,1008720,1.46,1.46,1.24,1.24,-0.29,57
105/04/13,294000,356330,1.26,1.26,1.18,1.18,-0.06,20
105/04/14,384000,452330,1.25,1.25,1.11,1.15,-0.03,20
105/04/15,639000,609440,1.13,1.13,0.89,0.97,-0.18,42
105/04/18,560000,535640,0.91,0.99,0.91,0.98,+0.01,20
105/04/19,525000,498700,1.02,1.04,0.88,0.89,-0.09,25
105/04/20,810000,673820,0.90,0.90,0.78,0.84,-0.05,35
105/04/21,990000,990120,0.95,1.04,0.95,1.01,+0.17,33
105/04/22,1461000,1450200,1.01,1.10,0.90,0.93,-0.08,68
105/04/25,1406000,1452780,0.88,1.21,0.88,1.15,+0.22,81
105/04/26,1500000,1775170,1.13,1.28,1.11,1.25,+0.10,61
105/04/27,2259000,2585630,1.25,1.25,1.05,1.18,-0.07,91
105/04/28,1640000,1783490,1.14,1.14,1.04,1.05,-0.13,51
105/04/29,1088000,975460,0.95,0.96,0.84,0.86,-0.19,52
105/05/03,860000,687540,0.80,0.87,0.76,0.81,-0.05,26
105/05/04,507000,415380,0.86,0.89,0.77,0.79,-0.02,16
105/05/05,501000,446300,0.87,0.93,0.83,0.88,+0.09,21
105/05/06,441000,359400,0.83,0.85,0.75,0.78,-0.10,24
105/05/09,409000,279200,0.80,0.80,0.63,0.63,-0.15,18
105/05/10,511000,344070,0.59,0.71,0.59,0.69,+0.06,24
105/05/11,587000,439490,0.78,0.79,0.69,0.69,0.00,29
105/05/12,341000,213500,0.66,0.72,0.57,0.59,-0.10,15
105/05/13,433000,307410,0.71,0.72,0.68,0.71,+0.12,18
105/05/16,544000,393310,0.70,0.74,0.69,0.72,+0.01,16
105/05/17,1580000,1551320,0.77,1.09,0.77,1.08,+0.36,73
105/05/18,1389000,1420300,0.95,1.13,0.92,1.10,+0.02,73
105/05/19,1759000,1683080,1.03,1.03,0.88,0.90,-0.20,75
105/05/20,682000,531210,0.81,0.84,0.75,0.76,-0.14,36
105/05/23,429000,355880,0.73,0.89,0.70,0.88,+0.12,20
105/05/24,201000,166400,0.85,0.85,0.82,0.82,-0.06,14
