105/03/07,0,0,---,---,---,---,---,0
105/03/08,13000,15070,1.19,1.19,1.15,1.15,+0.10,2
105/03/09,264000,307460,1.14,1.21,1.14,1.19,+0.04,5
105/03/10,174000,193470,1.09,1.13,1.08,1.12,-0.07,4
105/03/11,95000,95000,1.00,1.00,1.00,1.00,-0.12,3
105/03/14,2000,2060,1.03,1.03,1.03,1.03,+0.03,1
105/03/15,20000,20600,1.03,1.04,0.99,1.04,+0.01,4
105/03/16,298000,320110,1.02,1.11,1.02,1.10,+0.06,19
105/03/17,552000,646410,1.11,1.27,1.09,1.23,+0.13,33
105/03/18,544000,570440,1.24,1.24,0.99,1.05,-0.18,31
105/03/21,365000,415650,1.07,1.27,1.04,1.24,+0.19,31
105/03/22,608000,914110,1.35,1.70,1.35,1.48,+0.24,61
105/03/23,469000,721360,1.40,1.66,1.40,1.58,+0.10,38
105/03/24,231000,358350,1.50,1.60,1.45,1.60,+0.02,19
105/03/25,414000,685430,1.68,1.77,1.52,1.53,-0.07,34
105/03/28,194000,286160,1.53,1.53,1.42,1.50,-0.03,15
105/03/29,547000,748260,1.54,1.54,1.30,1.32,-0.18,24
105/03/30,339000,486650,1.41,1.45,1.39,1.41,+0.09,14
105/03/31,114000,151850,1.33,1.35,1.32,1.32,-0.09,8
105/04/01,138000,185340,1.30,1.43,1.30,1.35,+0.03,10
