105/10/07,0,0,---,---,---,---,---,0
105/10/11,0,0,---,---,---,---,---,0
105/10/12,101000,132370,1.32,1.32,1.30,1.30,+0.06,3
105/10/13,0,0,---,---,---,---,---,0
105/10/14,91000,112520,1.24,1.24,1.22,1.22,-0.05,2
105/10/17,0,0,---,---,---,---,---,0
105/10/18,99000,135680,1.14,1.40,1.14,1.40,+0.37,4
105/10/19,37000,50320,1.36,1.36,1.36,1.36,-0.04,1
105/10/20,575000,843850,1.50,1.50,1.45,1.46,+0.10,15
105/10/21,539000,811280,1.50,1.52,1.40,1.44,-0.02,10
105/10/24,0,0,---,---,---,---,---,0
105/10/25,0,0,---,---,---,---,---,0
105/10/26,0,0,---,---,---,---,---,0
105/10/27,0,0,---,---,---,---,---,0
105/10/28,0,0,---,---,---,---,---,0
105/10/31,0,0,---,---,---,---,---,0
105/11/01,749000,1125470,1.41,1.56,1.41,1.54,+0.24,32
105/11/02,1615000,2547030,1.63,1.68,1.50,1.52,-0.02,46
105/11/03,1491000,2396200,1.62,1.65,1.56,1.59,+0.07,38
105/11/04,821000,1241890,1.47,1.54,1.47,1.52,-0.07,21
105/11/07,327000,529950,1.64,1.64,1.53,1.53,+0.01,8
105/11/08,25000,36500,1.46,1.46,1.46,1.46,-0.07,2
105/11/09,57000,71770,1.39,1.39,1.13,1.13,-0.33,6
105/11/10,0,0,---,---,---,---,---,0
105/11/11,528000,733560,1.35,1.50,1.35,1.39,+0.04,23
105/11/14,1045000,1510340,1.43,1.52,1.34,1.52,+0.13,26
105/11/15,420000,632050,1.54,1.54,1.42,1.43,-0.09,7
105/11/16,1053000,1855190,1.56,2.05,1.56,2.00,+0.57,35
105/11/17,2461000,5994860,2.30,2.84,2.11,2.84,+0.84,91
105/11/18,3157000,8774390,2.85,2.95,2.55,2.66,-0.18,137
105/11/21,2250000,6652700,2.89,3.15,2.67,2.87,+0.21,149
105/11/22,1690000,4786990,2.94,2.94,2.68,2.83,-0.04,89
105/11/23,1942000,5737460,3.07,3.17,2.64,2.66,-0.17,104
105/11/24,1735000,4816690,2.78,3.06,2.54,3.06,+0.40,74
105/11/25,1064000,3193270,3.09,3.14,2.85,2.85,-0.21,36
105/11/28,292000,811280,2.78,2.93,2.69,2.69,-0.16,17
105/11/29,301000,878660,2.75,2.96,2.75,2.96,+0.27,7
105/11/30,393000,1034990,2.75,2.78,2.55,2.61,-0.35,22
105/12/01,1087000,2479130,2.53,2.70,2.15,2.21,-0.40,61
105/12/02,898000,1809190,2.07,2.09,1.96,2.03,-0.18,36
