104/12/22,0,0,---,---,---,---,---,0
104/12/23,70000,58900,0.83,0.85,0.83,0.85,-0.02,3
104/12/24,110000,101960,0.94,0.94,0.91,0.93,+0.08,7
104/12/25,91000,81390,0.90,0.90,0.84,0.84,-0.09,5
104/12/28,39000,32760,0.84,0.84,0.84,0.84,0.00,3
104/12/29,241000,200180,0.83,0.84,0.82,0.84,0.00,7
104/12/30,171000,133770,0.78,0.79,0.77,0.77,-0.07,8
104/12/31,155000,121500,0.79,0.79,0.77,0.78,+0.01,5
105/01/04,454000,339940,0.74,0.75,0.73,0.74,-0.04,9
105/01/05,989000,746540,0.73,0.78,0.73,0.78,+0.04,19
105/01/06,1107000,832560,0.76,0.77,0.74,0.77,-0.01,12
105/01/07,1426000,1123130,0.75,0.84,0.75,0.80,+0.03,27
105/01/08,681000,522300,0.78,0.78,0.73,0.73,-0.07,15
105/01/11,249000,188260,0.74,0.76,0.74,0.74,+0.01,4
105/01/12,1961000,1634010,0.74,0.92,0.74,0.92,+0.18,56
105/01/13,2077000,1749160,0.91,0.91,0.77,0.77,-0.15,88
105/01/14,1954000,1411620,0.79,0.81,0.65,0.70,-0.07,111
105/01/15,952000,634000,0.67,0.69,0.65,0.68,-0.02,48
105/01/18,1158000,681460,0.65,0.65,0.55,0.59,-0.09,60
105/01/19,402000,234200,0.58,0.60,0.56,0.60,+0.01,24
105/01/20,1789000,1124620,0.58,0.67,0.55,0.66,+0.06,69
105/01/21,1719000,1090360,0.61,0.67,0.60,0.66,0.00,67
105/01/22,2261000,1565800,0.63,0.75,0.63,0.70,+0.04,100
105/01/25,1103000,758970,0.69,0.71,0.66,0.69,-0.01,42
105/01/26,670000,444790,0.67,0.69,0.65,0.68,-0.01,33
105/01/27,1175000,785190,0.68,0.69,0.66,0.69,+0.01,26
105/01/28,1532000,1041260,0.67,0.69,0.65,0.67,-0.02,29
105/01/29,705000,463620,0.67,0.67,0.64,0.67,0.00,25
105/01/30,1509000,950660,0.64,0.64,0.60,0.64,-0.03,30
105/02/01,444000,291510,0.63,0.68,0.63,0.68,+0.04,24
105/02/02,92000,61820,0.70,0.70,0.66,0.68,0.00,10
105/02/03,776000,534820,0.67,0.69,0.67,0.69,+0.01,33
105/02/15,549000,383880,0.68,0.72,0.68,0.72,+0.03,21
105/02/16,448000,309970,0.69,0.70,0.68,0.70,-0.02,13
105/02/17,769000,497250,0.66,0.66,0.63,0.65,-0.05,22
105/02/18,843000,523070,0.62,0.64,0.60,0.61,-0.04,20
105/02/19,1560000,967690,0.61,0.64,0.61,0.64,+0.03,22
105/02/22,2188000,1743130,0.78,0.88,0.76,0.88,+0.24,70
105/02/23,384000,286910,0.85,0.85,0.73,0.73,-0.15,39
105/02/24,760000,554070,0.69,0.75,0.69,0.75,+0.02,37
105/02/25,807000,587280,0.68,0.75,0.68,0.75,0.00,23
105/02/26,421000,307980,0.68,0.76,0.68,0.72,-0.03,11
105/03/04,223000,154710,0.71,0.71,0.69,0.70,-0.03,11
105/03/18,110000,66110,0.60,0.62,0.60,0.62,-0.02,6
105/03/24,399000,247370,0.61,0.63,0.61,0.63,+0.05,4
105/03/25,350000,211990,0.61,0.61,0.60,0.61,-0.02,5
