104/09/10,36405101,704089279,19.63,19.63,18.96,19.52,-0.44,2570
104/09/11,17007011,332052672,19.40,19.71,19.36,19.55,0.03,1213
104/09/14,25097000,482685920,19.46,19.53,18.94,19.26,-0.29,1208
104/09/15,21293000,411501090,19.57,19.68,18.99,19.16,-0.10,1351
104/09/16,17656000,340484600,19.44,19.51,19.10,19.16,,805
104/09/17,13468101,264213199,19.61,19.80,19.41,19.72,0.56,925
104/09/18,18859000,360363220,19.11,19.24,18.96,19.08,-0.64,1526
104/09/21,4682000,87057420,18.61,18.67,18.56,18.62,-0.46,415
104/09/22,4384000,82112830,18.62,18.81,18.62,18.81,0.19,310
104/09/23,9912300,179124889,18.50,18.50,17.74,17.80,-1.01,1175
104/09/24,13743000,250642750,18.10,18.41,18.10,18.21,0.41,908
104/09/25,23064000,419535880,18.26,18.58,17.87,18.47,0.26,1284
104/09/30,15567000,276318700,17.77,18.07,17.60,18.00,-0.47,1162
104/10/01,24786000,461963200,18.18,18.95,18.10,18.83,0.83,1514
104/10/02,17385105,323596377,18.54,18.80,18.38,18.61,-0.22,935
104/10/05,13165176,251985976,19.06,19.34,18.92,19.24,0.63,965
104/10/06,15455000,304331770,19.72,19.79,19.54,19.67,0.43,1017
104/10/07,29781000,584848700,19.59,20.00,19.40,20.00,0.33,1122
104/10/08,11191000,222213950,19.99,20.14,19.60,19.68,-0.32,627
104/10/12,4087001,81842341,19.96,20.12,19.92,20.09,0.41,348
104/10/13,8183001,165721561,20.40,20.41,20.12,20.19,0.10,570
104/10/14,12443000,241168720,19.46,19.50,19.27,19.35,-0.84,1154
104/10/15,7252000,143030170,19.57,19.96,19.57,19.74,0.39,673
104/10/16,6902000,140528960,20.28,20.51,20.20,20.24,0.50,561
104/10/19,9794000,195722150,20.07,20.31,19.84,19.97,-0.27,552
104/10/20,3201000,64210170,20.09,20.15,19.98,20.06,0.09,228
104/10/21,6134000,125967750,20.36,20.81,20.34,20.79,0.73,509
104/10/22,4523000,93739760,20.79,20.89,20.50,20.60,-0.19,394
104/10/23,9168000,196587550,21.20,21.55,21.20,21.47,0.87,526
104/10/26,5497000,120046810,21.78,21.99,21.71,21.83,0.36,347
104/10/27,7674500,164664695,21.70,21.70,21.24,21.38,-0.45,359
104/10/28,7018000,149542400,21.20,21.45,21.16,21.34,-0.04,297
104/10/29,7183000,153173840,21.51,21.51,21.10,21.38,0.04,308
104/10/30,25427000,543877380,21.34,21.95,20.91,21.81,0.43,772
104/11/02,9034000,188375500,21.00,21.00,20.72,20.87,-0.94,693
104/11/03,5048000,107471100,21.03,21.39,21.01,21.39,0.52,336
104/11/04,12009000,257934350,21.50,21.69,21.21,21.21,-0.18,432
104/11/05,7391200,159434092,21.39,21.70,21.32,21.62,0.41,321
104/11/06,9539000,207071750,21.68,21.87,21.60,21.87,0.25,323
104/11/09,11684000,263225840,22.36,22.65,22.30,22.52,0.65,525
104/11/10,9392000,209301460,22.26,22.53,22.13,22.51,-0.01,358
104/11/11,8854000,200237440,22.54,22.76,22.48,22.76,0.25,353
104/11/12,8254000,186868770,22.51,22.74,22.48,22.65,-0.11,278
104/11/13,11091000,246819060,21.99,22.38,21.95,22.36,-0.29,358
104/11/16,4898000,108002580,22.00,22.14,21.99,22.11,-0.25,238
104/11/17,5144000,115843590,22.47,22.63,22.43,22.55,0.44,234
104/11/18,2669000,60366350,22.68,22.73,22.42,22.42,-0.13,176
104/11/19,8748000,199716760,22.90,23.07,22.61,22.83,0.41,325
104/11/20,4745000,107307840,22.58,22.75,22.54,22.64,-0.19,191
104/11/23,1672000,38398890,22.79,23.00,22.79,22.94,0.30,99
104/11/24,3325000,75920520,22.77,22.94,22.73,22.92,-0.02,127
104/11/25,3305699,74637752,22.66,22.69,22.49,22.69,-0.23,168
104/11/26,3474000,79625350,22.82,22.99,22.80,22.83,0.14,171
104/11/27,4831000,109169110,22.79,22.79,22.50,22.55,-0.28,216
104/11/30,3676500,81984150,22.36,22.44,22.16,22.23,-0.32,154
104/12/01,2715000,61579660,22.72,22.74,22.59,22.64,0.41,151
104/12/02,2466000,56379660,22.78,22.92,22.76,22.89,0.25,118
104/12/03,3525000,80173150,22.81,22.88,22.62,22.87,-0.02,140
104/12/04,6320000,138983830,22.06,22.14,21.83,21.88,-0.99,518
104/12/07,3847000,86443390,22.45,22.55,22.33,22.34,0.46,357
104/12/08,3199000,70161400,22.19,22.19,21.71,21.86,-0.48,284
104/12/09,3280000,70640510,21.75,21.76,21.37,21.46,-0.40,345
104/12/10,4066000,85750780,20.97,21.20,20.95,21.07,-0.39,343
104/12/11,3322000,70608350,21.15,21.38,21.15,21.22,0.15,341
104/12/14,5323000,108358980,20.46,20.58,20.00,20.49,-0.73,467
104/12/15,3755000,76039650,20.50,20.51,19.95,20.00,-0.49,628
104/12/16,4394002,91221170,20.49,20.95,20.49,20.87,0.87,589
104/12/17,6317873,137494743,21.37,21.93,21.37,21.70,0.83,645
104/12/18,12668000,274575080,21.33,22.52,20.89,21.10,-0.60,1195
104/12/21,11910000,242916360,20.71,20.71,20.19,20.70,-0.40,1574
104/12/22,6102000,126550180,20.70,20.85,20.65,20.84,0.14,610
104/12/23,2496000,51963190,20.85,20.93,20.74,20.84,,241
