104/10/28,44000,35310,0.80,0.82,0.79,0.80,-0.11,6
104/10/29,114000,97620,0.88,0.91,0.78,0.78,-0.02,6
104/10/30,121000,87320,0.76,0.76,0.65,0.65,-0.13,4
104/11/02,110000,77540,0.69,0.76,0.69,0.74,+0.09,6
104/11/03,10000,7000,0.70,0.70,0.70,0.70,-0.04,1
104/11/04,316000,242660,0.76,0.82,0.75,0.82,+0.12,9
104/11/05,1822000,1449080,0.80,0.81,0.77,0.81,-0.01,16
104/11/06,1616000,1321930,0.84,0.84,0.69,0.69,-0.12,19
104/11/09,220000,145600,0.72,0.72,0.60,0.60,-0.09,6
104/11/10,601000,381340,0.65,0.68,0.62,0.68,+0.08,13
104/11/11,1355000,847410,0.68,0.68,0.59,0.59,-0.09,40
104/11/12,1239000,699740,0.61,0.62,0.53,0.55,-0.04,28
104/11/13,437000,215700,0.42,0.50,0.42,0.50,-0.05,7
104/11/16,410000,174100,0.41,0.45,0.41,0.45,-0.05,7
104/11/17,166000,83660,0.51,0.51,0.50,0.51,+0.06,3
104/11/18,475000,237750,0.49,0.51,0.47,0.51,0.00,8
104/11/19,1955000,1170830,0.52,0.65,0.52,0.63,+0.12,26
104/11/20,2323000,1430710,0.60,0.64,0.59,0.59,-0.04,42
104/11/23,1348000,805030,0.58,0.61,0.57,0.59,0.00,26
104/11/24,924000,466750,0.54,0.54,0.49,0.49,-0.10,13
104/11/25,799000,387020,0.49,0.50,0.48,0.48,-0.01,13
104/11/26,732000,373920,0.52,0.52,0.51,0.51,+0.03,6
104/11/27,143000,67850,0.49,0.49,0.47,0.47,-0.04,4
104/11/30,80000,34400,0.43,0.43,0.43,0.43,-0.04,2
104/12/01,877000,409080,0.42,0.48,0.42,0.48,+0.05,11
104/12/02,1153000,641070,0.49,0.58,0.48,0.54,+0.06,15
104/12/03,900000,474180,0.49,0.56,0.49,0.54,0.00,10
104/12/04,1052000,541370,0.48,0.55,0.47,0.53,-0.01,17
104/12/07,538000,309780,0.61,0.61,0.56,0.56,+0.03,5
104/12/08,488000,238120,0.49,0.49,0.48,0.48,-0.08,3
104/12/09,381000,160430,0.48,0.48,0.38,0.40,-0.08,6
104/12/10,230000,85000,0.38,0.40,0.35,0.40,0.00,3
104/12/11,261000,95300,0.40,0.40,0.36,0.37,-0.03,3
104/12/14,60000,16800,0.28,0.28,0.28,0.28,-0.09,2
104/12/15,10000,3200,0.32,0.32,0.32,0.32,+0.04,1
104/12/16,3000,1050,0.35,0.35,0.35,0.35,+0.03,1
104/12/17,0,0,---,---,---,---,---,0
104/12/18,0,0,---,---,---,---,---,0
104/12/21,255000,83150,0.32,0.33,0.32,0.33,-0.01,6
104/12/22,0,0,---,---,---,---,---,0
104/12/23,0,0,---,---,---,---,---,0
104/12/24,0,0,---,---,---,---,---,0
104/12/25,0,0,---,---,---,---,---,0
104/12/28,0,0,---,---,---,---,---,0
104/12/29,0,0,---,---,---,---,---,0
104/12/30,0,0,---,---,---,---,---,0
104/12/31,0,0,---,---,---,---,---,0
105/01/04,11000,2450,0.25,0.25,0.22,0.22,-0.03,2
105/01/05,0,0,---,---,---,---,---,0
105/01/06,0,0,---,---,---,---,---,0
105/01/07,40000,3500,0.09,0.09,0.08,0.08,-0.06,3
105/01/08,0,0,---,---,---,---,---,0
105/01/11,0,0,---,---,---,---,---,0
105/01/12,0,0,---,---,---,---,---,0
105/01/13,0,0,---,---,---,---,---,0
105/01/14,0,0,---,---,---,---,---,0
105/01/15,0,0,---,---,---,---,---,0
105/01/18,75000,6750,0.09,0.09,0.09,0.09,+0.02,2
105/01/19,75000,6000,0.08,0.08,0.08,0.08,-0.01,1
105/01/20,0,0,---,---,---,---,---,0
105/01/21,0,0,---,---,---,---,---,0
105/01/22,0,0,---,---,---,---,---,0
105/01/25,90000,7200,0.08,0.08,0.08,0.08,0.00,2
105/01/26,0,0,---,---,---,---,---,0
105/01/27,0,0,---,---,---,---,---,0
105/01/28,0,0,---,---,---,---,---,0
105/01/29,10000,1100,0.11,0.11,0.11,0.11,+0.04,1
105/01/30,1000,200,0.20,0.20,0.20,0.20,+0.09,1
105/02/01,0,0,---,---,---,---,---,0
105/02/02,0,0,---,---,---,---,---,0
105/02/03,100000,16700,0.17,0.17,0.16,0.16,-0.02,2
105/02/15,80000,8900,0.11,0.12,0.11,0.12,-0.04,3
105/02/16,70000,8400,0.12,0.12,0.12,0.12,0.00,2
105/02/17,0,0,---,---,---,---,---,0
105/02/18,0,0,---,---,---,---,---,0
105/02/19,0,0,---,---,---,---,---,0
105/02/22,0,0,---,---,---,---,---,0
105/02/23,90000,26100,0.29,0.29,0.29,0.29,+0.14,1
