107/11/26,2028874,103358674,50.50,51.50,50.50,51.50,0.00,1861
107/11/27,842018,43482717,51.40,52.00,51.40,52.00,0.50,743
107/11/28,293971,15159391,51.90,51.90,51.50,51.50,-0.50,291
107/11/29,442529,22750372,51.50,51.60,51.30,51.30,-0.20,334
107/11/30,217155,11124929,51.30,51.30,51.20,51.20,-0.10,225
107/12/03,737882,37319682,51.20,51.30,51.00,51.20,0.00,258
107/12/04,756548,38350948,51.10,51.10,51.00,51.00,-0.20,240
107/12/05,224497,11450285,51.00,51.10,50.90,51.00,0.00,154
107/12/06,215052,10965840,51.00,51.00,50.90,51.00,0.00,141
107/12/07,204442,10426992,51.00,51.10,51.00,51.00,0.00,92
107/12/10,417448,21264454,51.00,51.00,50.90,50.90,-0.10,116
107/12/11,207555,10570445,50.90,51.00,50.90,51.00,0.10,101
107/12/12,263867,13458617,51.00,51.10,51.00,51.00,0.00,90
107/12/13,129091,6584341,50.90,51.10,50.90,51.00,0.00,71
107/12/14,325998,16625093,51.00,51.00,50.90,51.00,0.00,93
107/12/17,119140,6095740,51.10,51.30,51.10,51.20,0.20,77
107/12/18,42966,2199466,51.20,51.20,51.20,51.20,0.00,49
107/12/19,74573,3825234,51.20,51.40,51.20,51.30,0.10,62
107/12/20,215538,11059044,51.30,51.40,51.30,51.40,0.10,77
107/12/21,99386,5098958,51.40,51.50,51.30,51.30,-0.10,40
107/12/22,23744,1217991,51.30,51.30,51.30,51.30,0.00,27
107/12/24,55969,2871019,51.30,51.40,51.30,51.40,0.10,40
107/12/25,76958,3947753,51.30,51.30,51.30,51.30,-0.10,41
107/12/26,66523,3415621,51.30,51.40,51.30,51.30,0.00,67
107/12/27,42835,2201134,51.40,51.40,51.30,51.40,0.10,45
107/12/28,50229,2581646,51.40,51.40,51.40,51.40,0.00,41
