106/10/24,500,3327,6.63,6.66,6.63,6.66,0.06,3
106/10/25,600,4000,6.65,6.67,6.65,6.67,0.01,2
106/10/26,100,673,6.73,6.73,6.73,6.73,0.06,1
106/10/27,500,3387,6.75,6.79,6.75,6.79,0.06,4
106/10/30,100,682,6.82,6.82,6.82,6.82,0.03,1
106/10/31,0,0,--,--,--,--,0.00,0
106/11/01,700,4795,6.85,6.85,6.85,6.85,0.00,2
106/11/02,0,0,--,--,--,--,0.00,0
106/11/03,500,3415,6.83,6.83,6.83,6.83,0.00,1
106/11/06,0,0,--,--,--,--,0.00,0
106/11/07,0,0,--,--,--,--,0.00,0
106/11/08,500,3465,6.93,6.93,6.93,6.93,0.00,1
106/11/09,0,0,--,--,--,--,0.00,0
106/11/10,0,0,--,--,--,--,0.00,0
106/11/13,88600,622175,7.02,7.04,7.01,7.04,0.00,24
106/11/14,63300,446378,7.09,7.09,7.01,7.01,-0.03,14
106/11/15,118200,823190,6.97,6.97,6.95,6.95,-0.06,8
106/11/16,144000,1005770,6.98,7.00,6.98,7.00,0.05,23
106/11/17,90000,633700,7.06,7.06,7.04,7.04,0.04,6
106/11/20,90000,634700,7.09,7.09,7.05,7.05,0.01,5
106/11/21,86600,633097,7.15,7.33,7.15,7.33,0.28,6
106/11/22,80100,595942,7.42,7.44,7.42,7.44,0.11,3
106/11/23,80000,590400,7.38,7.38,7.38,7.38,-0.06,2
106/11/24,115500,829767,7.26,7.26,7.17,7.21,-0.17,12
106/11/27,100600,716186,7.16,7.16,7.11,7.11,-0.10,16
106/11/28,48400,341590,7.10,7.10,7.05,7.05,-0.06,4
106/11/29,100100,708705,7.12,7.14,7.05,7.07,0.02,12
106/11/30,85600,605748,7.08,7.08,7.05,7.08,0.01,14
106/12/01,120000,836400,6.97,6.97,6.97,6.97,-0.11,4
106/12/04,120500,844660,6.92,7.01,6.92,7.01,0.04,5
106/12/05,120000,852000,7.10,7.10,7.10,7.10,0.09,4
106/12/06,120100,844304,7.03,7.04,7.03,7.04,-0.06,5
106/12/07,130000,900000,6.96,6.96,6.92,6.92,-0.12,5
106/12/08,120000,829200,6.91,6.91,6.91,6.91,-0.01,4
106/12/11,120000,844800,7.04,7.04,7.04,7.04,0.13,5
106/12/12,120000,846000,7.05,7.05,7.05,7.05,0.01,4
106/12/13,120000,840000,7.00,7.00,7.00,7.00,-0.05,4
106/12/14,125000,880100,7.06,7.06,7.04,7.04,0.04,6
106/12/15,135000,938300,6.95,6.96,6.95,6.95,-0.09,8
106/12/18,120100,834697,6.97,6.97,6.95,6.95,0.00,5
106/12/19,120000,842400,7.02,7.02,7.02,7.02,0.07,4
106/12/20,130200,924120,7.10,7.10,7.07,7.07,0.05,8
106/12/21,120000,862800,7.19,7.19,7.19,7.19,0.12,4
106/12/22,150000,1075800,7.18,7.18,7.17,7.17,-0.02,9
106/12/25,120000,862800,7.19,7.19,7.19,7.19,0.02,4
106/12/26,160100,1146316,7.16,7.16,7.16,7.16,-0.03,7
106/12/27,190100,1360218,7.18,7.19,7.15,7.15,-0.01,9
106/12/28,160500,1142735,7.07,7.12,7.07,7.12,-0.03,5
106/12/29,180300,1290844,7.15,7.18,7.12,7.12,0.00,9
107/01/02,160500,1170050,7.30,7.30,7.29,7.29,0.17,5
107/01/03,150100,1107136,7.32,7.38,7.32,7.38,0.09,6
107/01/04,170700,1255827,7.31,7.36,7.31,7.35,-0.03,7
107/01/05,160000,1182400,7.39,7.39,7.39,7.39,0.04,4
107/01/08,160100,1187941,7.42,7.42,7.41,7.41,0.02,5
107/01/09,160300,1194235,7.45,7.45,7.45,7.45,0.04,5
107/01/10,160200,1207904,7.51,7.54,7.51,7.54,0.09,6
107/01/11,140000,1053200,7.54,7.54,7.52,7.52,-0.02,6
107/01/12,160100,1213252,7.52,7.58,7.52,7.58,0.06,7
107/01/13,120100,834697,6.97,6.97,6.95,6.95,0.00,5
107/01/15,162300,1263117,7.69,7.80,7.69,7.80,0.22,11
107/01/16,160000,1254400,7.84,7.84,7.84,7.84,0.04,4
107/01/17,160400,1267967,7.95,7.97,7.85,7.85,0.01,23
107/01/18,175000,1385310,7.94,7.95,7.90,7.90,0.05,23
107/01/19,160200,1288798,7.96,8.05,7.96,8.04,0.14,23
107/01/22,160000,1284800,8.03,8.03,8.03,8.03,-0.01,25
107/01/23,200200,1626030,8.15,8.15,8.12,8.13,0.10,25
107/01/24,200600,1631486,8.14,8.16,8.11,8.15,0.02,29
107/01/25,175000,1424200,8.08,8.14,8.08,8.14,-0.01,19
107/01/26,161200,1318598,8.16,8.22,8.16,8.22,0.08,16
107/01/29,166900,1355571,8.22,8.22,8.12,8.12,-0.10,31
107/01/30,163700,1298420,8.04,8.04,7.93,7.93,-0.19,22
107/01/31,164400,1315000,7.96,8.00,7.94,8.00,0.07,30
107/02/01,162400,1304075,8.04,8.04,8.03,8.03,0.03,61
107/02/02,162000,1300815,8.00,8.03,8.00,8.03,0.00,20
107/02/05,162000,1299300,8.05,8.05,8.02,8.02,-0.01,25
107/02/06,162500,1295024,7.95,7.97,7.89,7.91,-0.11,22
107/02/07,163400,1286528,8.04,8.10,7.85,7.93,0.02,31
107/02/08,161600,1218766,7.74,7.74,7.54,7.54,-0.39,24
107/02/09,81300,581238,7.14,7.15,7.07,7.15,-0.39,7
107/02/12,163300,1183881,7.23,7.25,7.21,7.21,0.06,25
107/02/21,6600,49922,7.45,7.57,7.45,7.55,0.34,6
107/02/22,24500,181810,7.43,7.52,7.39,7.52,-0.03,14
107/02/23,100,761,7.61,7.61,7.61,7.61,0.09,1
107/02/26,500,3811,7.67,7.67,7.59,7.67,0.06,5
107/02/27,1000,7640,7.64,7.64,7.64,7.64,-0.03,1
107/03/01,6200,45847,7.37,7.50,7.37,7.50,-0.14,7
107/03/02,600,4425,7.38,7.41,7.36,7.41,-0.09,4
107/03/05,1300,9586,7.40,7.45,7.36,7.36,-0.05,4
107/03/06,0,0,--,--,--,--,0.00,0
107/03/07,10100,75353,7.53,7.53,7.46,7.46,0.00,5
107/03/08,100,749,7.49,7.49,7.49,7.49,0.03,1
107/03/09,100,750,7.50,7.50,7.50,7.50,0.01,1
107/03/12,5000,37750,7.55,7.55,7.55,7.55,0.05,1
107/03/13,200,1508,7.54,7.54,7.54,7.54,-0.01,2
107/03/14,100,748,7.48,7.48,7.48,7.48,-0.06,1
107/03/15,200,1497,7.45,7.52,7.45,7.52,0.04,2
107/03/16,0,0,--,--,--,--,0.00,0
107/03/19,700,5202,7.44,7.44,7.43,7.43,0.00,3
107/03/20,200,1498,7.49,7.49,7.49,7.49,0.06,2
107/03/21,600,4504,7.54,7.54,7.50,7.50,0.01,2
107/03/22,200,1487,7.45,7.45,7.42,7.42,-0.08,2
107/03/23,1200,8544,7.12,7.12,7.12,7.12,-0.30,3
107/03/26,200,1419,7.12,7.12,7.07,7.07,-0.05,2
107/03/27,6000,42960,7.16,7.16,7.16,7.16,0.09,2
107/03/28,39100,275949,7.04,7.11,7.00,7.00,-0.16,15
107/03/29,3300,22733,6.95,6.99,6.88,6.99,-0.01,4
107/03/30,200,1425,7.15,7.15,7.10,7.10,0.11,2
107/03/31,100,716,7.16,7.16,7.16,7.16,0.06,1
107/04/02,5300,37686,7.10,7.15,7.10,7.11,-0.05,5
107/04/03,100,697,6.97,6.97,6.97,6.97,-0.14,1
107/04/09,100,702,7.02,7.02,7.02,7.02,0.05,1
107/04/10,200,1409,7.01,7.08,7.01,7.08,0.06,2
107/04/11,300,2151,7.11,7.21,7.11,7.21,0.13,3
107/04/12,400,2870,7.24,7.24,7.15,7.15,-0.06,3
107/04/13,15700,111040,7.16,7.16,7.07,7.08,-0.07,10
107/04/16,10700,74461,6.99,7.00,6.91,6.91,-0.17,5
107/04/17,300,2063,6.90,6.90,6.86,6.87,-0.04,3
107/04/18,200,1354,6.76,6.78,6.76,6.78,-0.09,2
107/04/19,6100,41913,6.86,6.93,6.86,6.93,0.15,3
107/04/20,200,1379,6.93,6.93,6.86,6.86,-0.07,2
107/04/23,14800,101087,6.82,6.88,6.82,6.88,0.02,8
107/04/24,9200,62951,6.84,6.99,6.84,6.99,0.11,5
107/04/25,400,2792,6.98,6.98,6.98,6.98,-0.01,4
